Geographic Area Name,No rent paid,Occupied units paying rent,Total Units Surveyed,Less than $500,$500 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or more",Median (dollars)
"Clackamas County, Oregon",1391,43735,45126,983,2883,9295,17507,6809,2943,3315,1749
"Multnomah County, Oregon",3325,165702,169027,7977,15820,54874,48600,21408,8697,8326,1543
"Washington County, Oregon",2003,88104,90107,1250,3734,18004,33089,20159,6478,5390,1818
