Median Household Income,Median Home Value,Median Gross Rent
82215,386600,1359
80484,395100,1295
69176,386200,1237
82911,421100,1356
71425,410800,1309
86626,413500,1440
88517,452200,1447
76290,437600,1394
92025,439300,1541
95740,532200,1605
83668,492100,1515
100121,504300,1695
100360,577900,1693
86247,528000,1582
104434,558500,1773
