Geographic Area Name,No rent paid,Occupied units paying rent,Total Units Surveyed,Less than $500,$500 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or more",Median (dollars)
"Clackamas County, Oregon",2410,44889,47299,1530,3887,14158,13577,6397,3073,2267,1606
"Multnomah County, Oregon",3746,161010,164756,8108,16150,61110,44398,18496,7403,5345,1466
"Washington County, Oregon",2140,90978,93118,1418,4478,24905,37252,15901,5404,1620,1697
