Year,Clackamas County,Multnomah County,Washington County,Clackamas County YoY % Change,Multnomah County YoY % Change,Washington County YoY % Change
2019,1349,1312,1434,0.0,0.0,0.0
2020,1356,1309,1440,0.5,-0.2,0.4
2021,1500,1386,1565,10.6,5.9,8.7
2022,1606,1466,1697,7.1,5.8,8.4
2023,1749,1543,1818,8.9,5.3,7.1
