Geographic Area Name,No rent paid,Occupied units paying rent,Total Units Surveyed,Less than $500,$500 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or more",Median (dollars)
"Clackamas County, Oregon",1057,46141,47198,1346,7769,22276,10399,2579,879,893,1349
"Multnomah County, Oregon",4117,149564,153681,8121,27968,59058,34544,14094,3788,1991,1312
"Washington County, Oregon",1205,85902,87107,1184,8428,39243,26304,8091,2093,559,1434
