Geographic Area Name,No rent paid,Occupied units paying rent,Total Units Surveyed,Less than $500,$500 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or more",Median (dollars)
"Clackamas County, Oregon",1435,41696,43131,1349,3905,15611,13251,3956,1978,1646,1500
"Multnomah County, Oregon",3538,153852,157390,7022,19817,66175,36930,16493,4573,2842,1386
"Washington County, Oregon",1450,94525,95975,3887,6472,32563,33338,11978,3102,3185,1565
